English,Engine A,Engine B,Label,,,
"In 1989 the Supreme Court of the United States declared the Board of Estimate unconstitutional on the grounds that Brooklyn, the most populous borough, had no greater effective representation on the Board than Staten Island, the least populous borough, a violation of the Fourteenth Amendment's Equal Protection Clause pursuant to the high court's 1964 ""one man, one vote"" decision.","1989 میں ، ریاستہائے متحدہ کی سپریم کورٹ نے بورڈ آف تخمینہ غیر آئینی قرار دیا تھا کہ اس بنیاد پر کہ بروک لین ، سب سے زیادہ آبادی والے بورے کو اسٹیٹن جزیرے سے زیادہ موثر نمائندگی نہیں تھی ، کم سے کم آبادی والا بور ، چودہویں ترمیم کے برابر کی خلاف ورزیہائیکورٹ کے 1964 ""ایک آدمی ، ایک ووٹ"" کے فیصلے کے مطابق تحفظ کی شق۔","1989 میں ریاستہائے متحدہ کی سپریم کورٹ نے بورڈ آف تخمینہ کو غیر آئینی قرار دیا اس بنیاد پر کہ بروکلین ، سب سے زیادہ آبادی والے بورو ، کے پاس بورڈ میں سٹیٹن آئلینڈ ، سب سے کم آبادی والے بورو سے زیادہ موثر نمائندگی نہیں تھی ، جو ہائی کورٹ کے 1964 کے ""ایک آدمی ، ایک ووٹ"" فیصلے کے مطابق چودہویں ترمیم کی مساوی تحفظ کی شق کی خلاف ورزی تھی۔",B,,,
"Another set of restrictions was passed in 1998 that restricted the kinds of work youth could partake in, such as work that was considered hazardous like running construction equipment, or certain kinds of factory work.",پابندیوں کا ایک اور مجموعہ 1998 میں منظور کیا گیا تھا جس میں اس طرح کے کام کو محدود کیا گیا تھا جس میں نوجوانوں میں حصہ لیا جاسکتا ہے ، جیسے کام کو چلانے کی طرح مؤثر سمجھا جاتا تھا جیسے تعمیراتی سازوسامان ، یا کچھ قسم کے فیکٹری کام۔,1998 میں پابندیوں کا ایک اور سیٹ منظور کیا گیا تھا جس نے نوجوانوں کو کام کی اقسام میں حصہ لینے پر پابندی عائد کی تھی ، جیسے کام جو خطرناک سمجھا جاتا تھا جیسے تعمیراتی سامان چلانا ، یا فیکٹری کے کام کی کچھ اقسام۔,B,,,
This emerged as early as the end of Kublai's reign.,یہ کوبلائی کے دور کے اختتام کے ساتھ ہی سامنے آیا۔,یہ کوبیلائی کے دور حکومت کے اختتام کے اوائل میں سامنے آیا۔,B,,,
"While sophisticated mathematical descriptions are needed to predict, in full detail, the accurate result of such interactions, there is a conceptually simple way to describe such interactions through the use of Feynman diagrams.",اگرچہ اس طرح کے تعاملات کا درست نتیجہ ، پوری تفصیل سے پیش گوئی کرنے کے لئے نفیس ریاضی کی وضاحت کی ضرورت ہے ، لیکن فین مین آریگرام کے استعمال سے اس طرح کے تعامل کو بیان کرنے کا ایک نظریاتی طور پر آسان طریقہ ہے۔,جبکہ پیچیدہ ریاضیاتی وضاحتوں کی ضرورت ہوتی ہے، مکمل تفصیل سے، اس طرح کے تعاملات کے درست نتائج کی پیشن گوئی کرنے کے لئے، Feynman ڈایاگرام کے استعمال کے ذریعے اس طرح کے تعاملات کی وضاحت کرنے کے لئے ایک تصوراتی طور پر آسان طریقہ ہے.,C,,,
"Genetic studies of mitochondrial DNA (mtDNA) of Amerindians and some Siberian and Central Asian peoples also revealed that the gene pool of the Turkic-speaking peoples of Siberia such as Altaians, Khakas, Shors and Soyots, living between the Altai and Lake Baikal along the Sayan mountains, are genetically closest to Amerindians.[citation needed] This view is shared by other researchers who argue that ""the ancestors of the American Indians were the first to separate from the great Asian population in the Middle Paleolithic.","امریندیائیوں اور کچھ سائبیرین اور وسطی ایشیائی عوام کے مائٹوکونڈریل ڈی این اے (ایم ٹی ڈی این اے) کے جینیاتی مطالعات نے یہ بھی انکشاف کیا ہے کہ الٹائی اور جھیل بائیکال کے ساتھ ساتھ الٹائی اور جھیل بائیکال کے درمیان رہنے والے سائبیریا ، خاکس ، قمیض اور سویاٹ جیسے ترک بولنے والے لوگوں کا جین پولسیائن پہاڑ ، عمیرندیائیوں کے جینیاتی طور پر قریب ہیں۔ [حوالہ کی ضرورت ہے] اس نظریہ کو دوسرے محققین نے بھی شیئر کیا ہے جو یہ استدلال کرتے ہیں کہ ""امریکی ہندوستانیوں کے آباؤ اجداد سب سے پہلے تھے جو درمیانی پیلیولیتھک میں ایشیائی آبادی سے الگ تھے۔","امریکی ہندوستانیوں اور کچھ سائبیریا اور وسطی ایشیائی لوگوں کے مائٹوکونڈریل ڈی این اے (ایم ٹی ڈی این اے) کے جینیاتی مطالعات سے یہ بھی انکشاف ہوا ہے کہ سائبیریا کے ترک بولنے والے لوگوں جیسے الٹائی ، کھاکا ، شور اور سویوٹس ، جو الٹائی اور بائیکل جھیل کے درمیان سیان پہاڑوں کے ساتھ رہتے ہیں ، جینیاتی طور پر امریکی ہندوستانیوں کے قریب ہیں۔ یہ نقطہ نظر دوسرے محققین کے ذریعہ شیئر کیا گیا ہے جو استدلال کرتے ہیں کہ ""امریکی ہندوستانیوں کے آباؤ اجداد وسطی پیلیولیتھک میں عظیم ایشیائی آبادی سے الگ ہونے والے پہلے تھے۔",B,,,
"When, in 1974, he shared the Nobel Memorial Prize in Economics with Gunnar Myrdal, the latter complained about being paired with an ""ideologue"".","جب ، 1974 میں ، اس نے معاشیات میں نوبل میموریل انعام گنر میرڈال کے ساتھ شیئر کیا تو ، مؤخر الذکر نے ""نظریاتی"" کے ساتھ جوڑا بنانے کی شکایت کی۔","جب ، 1974 میں ، انہوں نے گنار میرڈل کے ساتھ معاشیات میں نوبل میموریل پرائز کا اشتراک کیا ، تو مؤخر الذکر نے شکایت کی کہ انہیں ایک ""آئیڈیالوجسٹ"" کے ساتھ جوڑا بنایا گیا ہے۔",A,,,
"Consolidation gave Jacksonville its great size and placed most of its metropolitan population within the city limits; with an estimated population of 853,382 in 2014, it is the most populous city proper in Florida and the Southeast, and the 12th most populous in the United States.",استحکام نے جیکسن ویل کو اس کا عمدہ سائز دیا اور اس کی میٹروپولیٹن آبادی کا بیشتر حصہ شہر کی حدود میں رکھ دیا۔2014 میں 853،382 کی تخمینہ آبادی کے ساتھ ، یہ فلوریڈا اور جنوب مشرق میں سب سے زیادہ آبادی والا شہر ہے ، اور ریاستہائے متحدہ میں 12 واں سب سے زیادہ آبادی ہے۔,انضمام نے جیکسن ویل کو اس کا بڑا سائز دیا اور اس کی زیادہ تر میٹروپولیٹن آبادی کو شہر کی حدود میں رکھا۔ 2014 میں 853،382 کی تخمینہ آبادی کے ساتھ ، یہ فلوریڈا اور جنوب مشرقی میں سب سے زیادہ آبادی والا شہر ہے ، اور ریاستہائے متحدہ میں 12 واں سب سے زیادہ آبادی والا شہر ہے۔,B,,,
Cubism began between 1907 and 1911.,کیوبزم کا آغاز 1907 سے 1911 کے درمیان ہوا۔,کیوبزم کا آغاز 1907 اور 1911 کے درمیان ہوا۔,B,,,
Neuroscientist Michael Nikoletseas has proposed that questions of the existence of God are no different from questions of natural sciences.,نیورو سائنسدان مائیکل نکولٹسیس نے تجویز پیش کی ہے کہ خدا کے وجود کے سوالات قدرتی علوم کے سوالات سے مختلف نہیں ہیں۔,اعصابی سائنسدان مائیکل نیکولیسیس نے تجویز کیا ہے کہ خدا کے وجود کے سوالات قدرتی علوم کے سوالات سے مختلف نہیں ہیں۔,A,,,
"He did not endorse everything old or reject everything new; rather, he sought to apply long-established ethical and pedagogical principles to a rapidly changing culture.",اس نے پرانی ہر چیز کی توثیق نہیں کی یا ہر چیز کو مسترد نہیں کیا۔بلکہ ، اس نے تیزی سے بدلتے ہوئے ثقافت پر طویل عرصے سے قائم اخلاقی اور تعلیمی اصولوں کو لاگو کرنے کی کوشش کی۔,وہ ہر پرانی چیز کی توثیق نہیں کرتا تھا اور نہ ہی ہر نئی چیز کو مسترد کرتا تھا۔ اس کے بجائے ، اس نے تیزی سے بدلتی ثقافت پر طویل عرصے سے قائم اخلاقی اور تعلیمی اصولوں کو لاگو کرنے کی کوشش کی۔,A,,,
Everton agreed a long-term loan of £30 million with Bear Stearns and Prudential plc in 2002 over the duration of 25 years; a consolidation of debts at the time as well as a source of capital for new player acquisitions.,ایورٹن نے 2002 میں 25 سال کی مدت میں 2002 میں ریچھ اسٹارنس اور پرڈینشل پی ایل سی کے ساتھ 30 ملین ڈالر کے طویل مدتی قرض پر اتفاق کیا۔اس وقت قرضوں کا استحکام اور ساتھ ہی نئے کھلاڑیوں کے حصول کے لئے دارالحکومت کا ایک ذریعہ۔,ایورٹن نے 2002 میں بیئر اسٹرنس اور پروڈینشل پی ایل سی کے ساتھ 25 سال کی مدت کے لئے 30 ملین پاؤنڈ کے طویل مدتی قرض پر اتفاق کیا؛ اس وقت قرضوں کی استحکام کے ساتھ ساتھ نئے کھلاڑیوں کے حصول کے لئے دارالحکومت کا ایک ذریعہ۔,B,,,
"Also, functional neuroanatomy uses medical imaging techniques to correlate variations in human brain structure with differences in cognition or behavior.",نیز ، فنکشنل نیوروانیٹومی طبی امیجنگ تکنیکوں کا استعمال انسانی دماغ کے ڈھانچے میں مختلف حالتوں کو ادراک یا طرز عمل میں اختلافات کے ساتھ کرتا ہے۔,اس کے علاوہ ، فنکشنل نیورو اناتومی انسانی دماغ کی ساخت میں تغیرات کو علمی یا رویے میں اختلافات کے ساتھ منسلک کرنے کے لئے میڈیکل امیجنگ تکنیک کا استعمال کرتی ہے۔,B,,,
The religious borders are largely comparable to the East–West Schism which began in the 11th century.,مذہبی سرحدیں بڑے پیمانے پر مشرق - مغرب کے فرقہ و غضب سے موازنہ ہیں جو 11 ویں صدی میں شروع ہوئی تھیں۔,مذہبی سرحدیں بڑے پیمانے پر مشرقی مغربی تقسیم کے مقابلے میں ہیں جو گیارہویں صدی میں شروع ہوئی تھیں۔,B,,,
"The state also has 2.4 million beef cattle, with more than 2.2 million cattle and calves slaughtered each year.",ریاست میں گائے کے گوشت کے 2.4 لاکھ مویشی بھی ہیں ، جن میں ہر سال 2.2 ملین سے زیادہ مویشی اور بچھڑوں کو ذبح کیا جاتا ہے۔,اس ریاست میں 2.4 ملین گائے کے مویشی بھی ہیں ، جن میں ہر سال 2.2 ملین سے زیادہ مویشی اور بچھڑے ذبح کیے جاتے ہیں۔,A,,,
Puerto Rico has been discussed as a potential 51st state of the United States.,پورٹو ریکو پر ریاستہائے متحدہ کی 51 ویں ریاست کے طور پر تبادلہ خیال کیا گیا ہے۔,پورٹو ریکو پر امریکہ کی ممکنہ 51 ویں ریاست کے طور پر تبادلہ خیال کیا گیا ہے۔,B,,,
"The performance of ""Summertime"" by Barrino, later known simply as ""Fantasia"", at Top 8 was widely praised, and Simon Cowell considered it as his favorite Idol moment in the nine seasons he was on the show.","بارینو کے ذریعہ ""سمر ٹائم"" کی کارکردگی ، جسے بعد میں صرف ""فنتاسیہ"" کے نام سے جانا جاتا تھا ، کو ٹاپ 8 میں بڑے پیمانے پر سراہا گیا ، اور سائمن کوول نے اس شو میں نو سیزن میں اسے اپنا پسندیدہ بت لمحہ سمجھا۔","ٹاپ 8 میں بارینو کے ""سمر ٹائم"" کی کارکردگی ، جسے بعد میں صرف ""فینٹاسیا"" کے نام سے جانا جاتا ہے ، کی وسیع پیمانے پر تعریف کی گئی تھی ، اور سائمن کاول نے اسے شو میں نو سیزن میں اپنے پسندیدہ آئیڈل لمحے کے طور پر سمجھا تھا۔",B,,,
"The Russian SFSR was controlled by the Communist Party of the Soviet Union, until the abortive 1991 August coup, which prompted President Yeltsin to suspend the recently created Communist Party of the Russian Soviet Federative Socialist Republic.",روسی ایس ایف ایس آر کو سوویت یونین کی کمیونسٹ پارٹی نے کنٹرول کیا تھا ، 1991 کے اگست کے اس خاتمے تک ، جس نے صدر یلسن کو روسی سوویت فیڈریٹو سوشلسٹ جمہوریہ کی حال ہی میں بنی کمیونسٹ پارٹی کو معطل کرنے پر مجبور کیا۔,روسی ایس ایف ایس آر پر سوویت یونین کی کمیونسٹ پارٹی کا کنٹرول تھا ، جب تک کہ 1991 اگست کی ناکام بغاوت ، جس نے صدر یلسن کو حال ہی میں تشکیل دی گئی روسی سوویت وفاقی سوشلسٹ جمہوریہ کی کمیونسٹ پارٹی کو معطل کرنے پر مجبور کیا۔,B,,,
"Eton also observes St. Andrew's Day, on which the Eton wall game is played.[citation needed]",ایٹن نے سینٹ اینڈریو ڈے کا بھی مشاہدہ کیا ، جس پر ایٹن وال گیم کھیلا جاتا ہے۔ [حوالہ کی ضرورت],ایٹن سینٹ اینڈریو ڈے کا بھی مشاہدہ کرتا ہے ، جس پر ایٹن وال گیم کھیلا جاتا ہے۔ [ حوالہ کی ضرورت ہے ],B,,,
This is the plesyomorphic condition among viviparous mammals; the presence of epipubic bones in all non-placental mammals prevents the expansion of the torso needed for full pregnancy.,یہ viviparous ستنداریوں کے درمیان plesiomorphic حالت ہے۔تمام غیر پلیسنٹل ستنداریوں میں ایپیپوبک ہڈیوں کی موجودگی مکمل حمل کے لئے درکار دھڑ کی توسیع کو روکتی ہے۔,یہ viviparous ستنداریوں کے درمیان plesyomorphic حالت ہے؛ تمام غیر placental ستنداریوں میں epipubic ہڈیوں کی موجودگی مکمل حمل کے لئے ضروری ٹورسو کی توسیع کو روکتا ہے.,C,,,
